"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
" ","38 years",21,18
" ","39 years",24,18
" ","40 years",39,27
" ","41 years",36,21
" ","42 years",39,36
" ","43 years",54,39
" ","44 years",57,39
" ","45 years",54,48
" ","46 years",51,42
" ","47 years",84,54
" ","48 years",72,51
" ","49 years",81,60
" ","50 years",87,75
" ","51 years",111,66
" ","52 years",93,66
" ","53 years",114,99
" ","54 years",138,102
" ","55 years",153,114
" ","56 years",162,108
" ","57 years",141,105
" ","58 years",168,117
" ","59 years",174,117
" ","60 years",168,135
" ","61 years",180,135
" ","62 years",222,129
" ","63 years",207,132
" ","64 years",216,159
" ","65 years",264,144
" ","66 years",252,162
" ","67 years",276,216
" ","68 years",291,213
" ","69 years",339,246
" ","70 years",300,201
" ","71 years",267,216
" ","72 years",321,249
" ","73 years",327,237
" ","74 years",408,276
" ","75 years",390,300
" ","76 years",381,291
" ","77 years",426,342
" ","78 years",435,333
" ","79 years",426,357
" ","80 years",462,393
" ","81 years",486,387
" ","82 years",450,432
" ","83 years",474,465
" ","84 years",537,501
" ","85 years",582,564
" ","86 years",504,573
" ","87 years",558,591
" ","88 years",465,618
" ","89 years",450,606
" ","90 years",459,606
" ","91 years",348,585
" ","92 years",300,552
" ","93 years",243,441
" ","94 years",222,399
" ","95 years",171,375
" ","96 years",102,333
" ","97 years",78,162
" ","98 years",45,156
" ","99 years",36,129
" ","100 years and over",48,234
" ","Median age at death",78.0,83.4
2017,"Total all ages",16848,16494
" ","Neonatal",78,66
" ","Post-neonatal",45,42
" ","Infant",120,108
" ","1-4 years",27,18
" ","5-9 years",15,15
" ","10-14 years",21,12
" ","15-19 years",81,48
" ","20-24 years",141,63
" ","25-29 years",159,60
" ","30-34 years",138,78
" ","35-39 years",156,108
" ","40-44 years",234,117
" ","45-49 years",369,261
" ","50-54 years",549,396
" ","55-59 years",768,579
" ","60-64 years",1077,747
" ","65-69 years",1422,1029
" ","70-74 years",1758,1368
" ","75-79 years",2280,1845
" ","80-84 years",2538,2328
" ","85-89 years",2745,3132
" ","90-94 years",1671,2745
" ","95-99 years",501,1230
" ","100 years and over",75,207
" ","Less than 1 year",123,108
" ","1 year",15,12
" ","2 years",3,0
" ","3 years",6,3
" ","4 years",6,0
" ","5 years",6,3
" ","6 years",0,3
" ","7 years",3,3
" ","8 years",6,3
" ","9 years",3,3
" ","10 years",6,0
" ","11 years",0,0
" ","12 years",3,0
" ","13 years",6,3
" ","14 years",6,3
" ","15 years",9,12
" ","16 years",9,3
" ","17 years",15,12
" ","18 years",24,9
" ","19 years",27,12
" ","20 years",30,12
" ","21 years",30,15
" ","22 years",24,15
" ","23 years",24,9
" ","24 years",36,12
" ","25 years",36,12
" ","26 years",33,12
" ","27 years",33,18
" ","28 years",27,12
" ","29 years",30,6
" ","30 years",24,15
" ","31 years",24,15
" ","32 years",33,12
" ","33 years",24,18
" ","34 years",27,18
" ","35 years",27,24
" ","36 years",27,15
" ","37 years",30,18
" ","38 years",36,27
" ","39 years",33,21
" ","40 years",39,18
" ","41 years",39,15
" ","42 years",45,21
" ","43 years",51,33
" ","44 years",60,30
" ","45 years",69,48
" ","46 years",57,54
" ","47 years",66,57
" ","48 years",84,57
" ","49 years",96,48
" ","50 years",84,63
" ","51 years",87,78
" ","52 years",105,84
" ","53 years",132,93
" ","54 years",141,84
" ","55 years",129,108
" ","56 years",129,123
" ","57 years",147,120
" ","58 years",165,126
" ","59 years",195,108
" ","60 years",201,126
" ","61 years",216,126
" ","62 years",201,159
" ","63 years",234,168
" ","64 years",231,168
" ","65 years",246,174
" ","66 years",246,201
" ","67 years",294,189
" ","68 years",306,228
" ","69 years",330,240
" ","70 years",357,249
" ","71 years",309,249
" ","72 years",351,267
" ","73 years",378,288
" ","74 years",363,318
" ","75 years",420,318
" ","76 years",477,378
" ","77 years",456,369
" ","78 years",459,384
" ","79 years",474,402
" ","80 years",495,408
" ","81 years",489,459
" ","82 years",492,453
" ","83 years",504,489
" ","84 years",555,519
" ","85 years",567,582
" ","86 years",627,591
" ","87 years",534,648
" ","88 years",492,666
" ","89 years",522,642
" ","90 years",429,651
" ","91 years",381,585
" ","92 years",342,567
" ","93 years",294,495
" ","94 years",225,450
" ","95 years",180,390
" ","96 years",135,348
" ","97 years",93,213
" ","98 years",51,159
" ","99 years",39,120
" ","100 years and over",75,210
" ","Median age at death",78.1,83.2
2018,"Total all ages",16983,16239
" ","Neonatal",69,69
" ","Post-neonatal",45,36
" ","Infant",117,105
" ","1-4 years",27,27
" ","5-9 years",15,12
" ","10-14 years",21,24
" ","15-19 years",96,42
" ","20-24 years",138,54
" ","25-29 years",135,69
" ","30-34 years",147,81
" ","35-39 years",147,111
" ","40-44 years",225,144
" ","45-49 years",336,240
" ","50-54 years",540,396
" ","55-59 years",858,585
" ","60-64 years",1080,753
" ","65-69 years",1386,1017
" ","70-74 years",1845,1356
" ","75-79 years",2247,1752
" ","80-84 years",2610,2265
" ","85-89 years",2673,2961
" ","90-94 years",1809,2784
" ","95-99 years",486,1197
" ","100 years and over",48,261
" ","Less than 1 year",114,105
" ","1 year",12,12
" ","2 years",3,9
" ","3 years",6,0
" ","4 years",3,6
" ","5 years",3,0
" ","6 years",3,3
" ","7 years",3,3
" ","8 years",3,3
" ","9 years",6,3
" ","10 years",0,3
" ","11 years",3,3
" ","12 years",6,6
" ","13 years",6,3
" ","14 years",3,6
" ","15 years",15,9
" ","16 years",15,9
" ","17 years",18,9
" ","18 years",24,9
" ","19 years",24,6
" ","20 years",21,9
" ","21 years",27,12
" ","22 years",30,12
" ","23 years",24,12
" ","24 years",36,9
" ","25 years",27,12
" ","26 years",27,12
" ","27 years",39,12
" ","28 years",21,21
" ","29 years",24,12
" ","30 years",33,6
" ","31 years",33,21
" ","32 years",27,15
" ","33 years",24,18
" ","34 years",33,21
" ","35 years",33,15
" ","36 years",30,21
" ","37 years",30,24
" ","38 years",30,27
" ","39 years",27,27
" ","40 years",45,21
" ","41 years",36,18
" ","42 years",39,30
" ","43 years",54,36
" ","44 years",51,36
" ","45 years",57,36
" ","46 years",57,42
" ","47 years",60,54
" ","48 years",84,54
" ","49 years",78,57
" ","50 years",96,69
" ","51 years",105,69
" ","52 years",108,87
" ","53 years",105,78
" ","54 years",129,93
" ","55 years",150,108
" ","56 years",159,99
" ","57 years",159,111
" ","58 years",180,126
" ","59 years",213,144
" ","60 years",183,135
" ","61 years",183,126
" ","62 years",234,141
" ","63 years",225,189
" ","64 years",252,165
" ","65 years",225,171
" ","66 years",279,177
" ","67 years",285,204
" ","68 years",273,228
" ","69 years",324,240
" ","70 years",357,228
" ","71 years",396,285
" ","72 years",375,270
" ","73 years",357,291
" ","74 years",357,279
" ","75 years",369,291
" ","76 years",420,327
" ","77 years",465,369
" ","78 years",513,381
" ","79 years",477,387
" ","80 years",486,435
" ","81 years",528,435
" ","82 years",528,447
" ","83 years",546,444
" ","84 years",522,501
" ","85 years",501,516
" ","86 years",525,594
" ","87 years",600,615
" ","88 years",528,630
" ","89 years",516,612
" ","90 years",489,648
" ","91 years",432,603
" ","92 years",351,546
" ","93 years",285,558
" ","94 years",249,429
" ","95 years",177,363
" ","96 years",126,351
" ","97 years",99,216
" ","98 years",54,165
" ","99 years",27,99
" ","100 years and over",48,258
" ","Median age at death",78.2,83.1
2019,"Total all ages",17583,16677
" ","Neonatal",87,84
" ","Post-neonatal",57,42
" ","Infant",144,126
" ","1-4 years",30,24
" ","5-9 years",15,12
" ","10-14 years",30,24
" ","15-19 years",87,45
" ","20-24 years",150,54
" ","25-29 years",153,60
" ","30-34 years",174,87
" ","35-39 years",183,84
" ","40-44 years",207,159
" ","45-49 years",366,282
" ","50-54 years",588,399
" ","55-59 years",867,564
" ","60-64 years",1062,756
" ","65-69 years",1452,1017
" ","70-74 years",1974,1395
" ","75-79 years",2337,1773
" ","80-84 years",2565,2316
" ","85-89 years",2805,3084
" ","90-94 years",1785,2814
" ","95-99 years",552,1338
" ","100 years and over",54,267
" ","Less than 1 year",144,126
" ","1 year",15,12
" ","2 years",9,6
" ","3 years",6,3
" ","4 years",3,6
" ","5 years",3,3
" ","6 years",6,3
" ","7 years",3,0
" ","8 years",3,3
" ","9 years",3,3
" ","10 years",6,0
" ","11 years",3,3
" ","12 years",3,6
" ","13 years",9,6
" ","14 years",6,6
" ","15 years",6,9
" ","16 years",21,9
" ","17 years",15,9
" ","18 years",21,6
" ","19 years",21,12
" ","20 years",21,6
" ","21 years",27,12
" ","22 years",36,18
" ","23 years",36,12
" ","24 years",33,6
" ","25 years",39,9
" ","26 years",27,12
" ","27 years",18,12
" ","28 years",33,12
" ","29 years",36,15
" ","30 years",33,18
" ","31 years",30,18
" ","32 years",27,12
" ","33 years",42,18
" ","34 years",39,18
" ","35 years",30,15
" ","36 years",30,15
" ","37 years",42,12
" ","38 years",45,21
" ","39 years",36,15
" ","40 years",45,30
" ","41 years",33,30
" ","42 years",42,36
" ","43 years",42,36
" ","44 years",42,27
" ","45 years",69,51
" ","46 years",66,54
" ","47 years",78,48
" ","48 years",81,60
" ","49 years",72,66
" ","50 years",96,75
" ","51 years",99,72
" ","52 years",117,81
" ","53 years",120,81
" ","54 years",153,93
" ","55 years",141,102
" ","56 years",168,96
" ","57 years",186,126
" ","58 years",159,123
" ","59 years",213,117
" ","60 years",213,135
" ","61 years",189,138
" ","62 years",213,138
" ","63 years",207,162
" ","64 years",240,183
" ","65 years",276,165
" ","66 years",291,225
" ","67 years",282,183
" ","68 years",282,204
" ","69 years",318,240
" ","70 years",354,228
" ","71 years",357,264
" ","72 years",435,315
" ","73 years",405,288
" ","74 years",423,297
" ","75 years",426,309
" ","76 years",402,336
" ","77 years",477,318
" ","78 years",513,408
" ","79 years",516,402
" ","80 years",468,438
" ","81 years",531,429
" ","82 years",528,465
" ","83 years",504,480
" ","84 years",531,507
" ","85 years",567,525
" ","86 years",558,612
" ","87 years",582,621
" ","88 years",603,672
" ","89 years",498,651
" ","90 years",483,639
" ","91 years",423,600
" ","92 years",354,567
" ","93 years",297,534
" ","94 years",228,474
" ","95 years",183,375
" ","96 years",129,351
" ","97 years",120,288
" ","98 years",60,195
" ","99 years",60,126
" ","100 years and over",54,267
" ","Median age at death",78.0,83.3
2020,"Total all ages",16905,15708
" ","Neonatal",87,63
" ","Post-neonatal",48,27
" ","Infant",132,93
" ","1-4 years",18,18
" ","5-9 years",21,3
" ","10-14 years",27,18
" ","15-19 years",78,48
" ","20-24 years",111,60
" ","25-29 years",141,63
" ","30-34 years",129,72
" ","35-39 years",159,99
" ","40-44 years",219,135
" ","45-49 years",369,228
" ","50-54 years",525,393
" ","55-59 years",768,624
" ","60-64 years",1071,735
" ","65-69 years",1404,1011
" ","70-74 years",1905,1362
" ","75-79 years",2331,1686
" ","80-84 years",2589,2244
" ","85-89 years",2523,2760
" ","90-94 years",1770,2541
" ","95-99 years",537,1263
" ","100 years and over",72,249
" ","Less than 1 year",132,93
" ","1 year",6,12
" ","2 years",9,3
" ","3 years",0,3
" ","4 years",3,3
" ","5 years",3,3
" ","6 years",3,3
" ","7 years",3,0
" ","8 years",6,0
" ","9 years",6,0
" ","10 years",3,6
" ","11 years",3,3
" ","12 years",3,3
" ","13 years",6,3
" ","14 years",12,3
" ","15 years",12,3
" ","16 years",15,15
" ","17 years",12,12
" ","18 years",15,6
" ","19 years",24,12
" ","20 years",18,12
" ","21 years",30,15
" ","22 years",18,9
" ","23 years",27,12
" ","24 years",18,12
" ","25 years",24,15
" ","26 years",33,6
" ","27 years",27,9
" ","28 years",36,12
" ","29 years",24,18
" ","30 years",27,15
" ","31 years",30,9
" ","32 years",27,15
" ","33 years",27,18
" ","34 years",21,15
" ","35 years",27,27
" ","36 years",30,21
" ","37 years",45,15
" ","38 years",27,15
" ","39 years",30,21
" ","40 years",33,18
" ","41 years",45,27
" ","42 years",33,27
" ","43 years",45,30
" ","44 years",63,30
" ","45 years",54,33
" ","46 years",57,36
" ","47 years",87,54
" ","48 years",87,51
" ","49 years",84,57
" ","50 years",84,78
" ","51 years",96,69
" ","52 years",108,81
" ","53 years",96,87
" ","54 years",138,75
" ","55 years",117,90
" ","56 years",159,123
" ","57 years",159,123
" ","58 years",168,114
" ","59 years",165,177
" ","60 years",198,132
" ","61 years",213,153
" ","62 years",201,159
" ","63 years",222,132
" ","64 years",237,159
" ","65 years",237,171
" ","66 years",255,195
" ","67 years",309,201
" ","68 years",294,204
" ","69 years",312,240
" ","70 years",348,237
" ","71 years",381,264
" ","72 years",381,279
" ","73 years",390,306
" ","74 years",408,273
" ","75 years",414,300
" ","76 years",411,288
" ","77 years",462,339
" ","78 years",519,393
" ","79 years",525,366
" ","80 years",549,435
" ","81 years",504,402
" ","82 years",492,414
" ","83 years",540,519
" ","84 years",507,471
" ","85 years",525,471
" ","86 years",498,549
" ","87 years",525,552
" ","88 years",492,567
" ","89 years",483,618
" ","90 years",426,597
" ","91 years",438,552
" ","92 years",351,516
" ","93 years",312,477
" ","94 years",246,402
" ","95 years",174,399
" ","96 years",141,306
" ","97 years",102,234
" ","98 years",72,177
" ","99 years",48,144
" ","100 years and over",72,249
" ","Median age at death",78.2,82.9
2021,"Total all ages",18000,16929
" ","Neonatal",102,72
" ","Post-neonatal",63,33
" ","Infant",165,108
" ","1-4 years",15,30
" ","5-9 years",12,12
" ","10-14 years",24,21
" ","15-19 years",81,51
" ","20-24 years",123,54
" ","25-29 years",132,60
" ","30-34 years",177,63
" ","35-39 years",177,105
" ","40-44 years",234,153
" ","45-49 years",321,222
" ","50-54 years",570,399
" ","55-59 years",831,567
" ","60-64 years",1092,828
" ","65-69 years",1479,1011
" ","70-74 years",2004,1479
" ","75-79 years",2373,1830
" ","80-84 years",2769,2550
" ","85-89 years",2757,2901
" ","90-94 years",1935,2835
" ","95-99 years",651,1383
" ","100 years and over",84,264
" ","Less than 1 year",165,108
" ","1 year",9,12
" ","2 years",0,9
" ","3 years",6,6
" ","4 years",3,6
" ","5 years",6,3
" ","6 years",3,0
" ","7 years",0,3
" ","8 years",0,3
" ","9 years",3,3
" ","10 years",3,0
" ","11 years",3,3
" ","12 years",0,3
" ","13 years",6,6
" ","14 years",6,9
" ","15 years",9,9
" ","16 years",6,9
" ","17 years",15,12
" ","18 years",18,9
" ","19 years",27,12
" ","20 years",21,15
" ","21 years",24,12
" ","22 years",21,12
" ","23 years",27,9
" ","24 years",30,9
" ","25 years",24,15
" ","26 years",27,9
" ","27 years",15,15
" ","28 years",30,12
" ","29 years",36,9
" ","30 years",39,12
" ","31 years",33,15
" ","32 years",33,12
" ","33 years",36,12
" ","34 years",36,15
" ","35 years",24,21
" ","36 years",39,21
" ","37 years",42,24
" ","38 years",36,24
" ","39 years",33,18
" ","40 years",39,21
" ","41 years",48,33
" ","42 years",48,33
" ","43 years",54,33
" ","44 years",42,36
" ","45 years",51,39
" ","46 years",63,39
" ","47 years",69,54
" ","48 years",63,36
" ","49 years",78,57
" ","50 years",90,60
" ","51 years",96,63
" ","52 years",114,87
" ","53 years",123,93
" ","54 years",147,93
" ","55 years",135,96
" ","56 years",150,93
" ","57 years",168,138
" ","58 years",183,105
" ","59 years",192,132
" ","60 years",195,141
" ","61 years",210,156
" ","62 years",219,168
" ","63 years",234,177
" ","64 years",234,183
" ","65 years",264,189
" ","66 years",300,180
" ","67 years",264,210
" ","68 years",318,204
" ","69 years",333,225
" ","70 years",342,240
" ","71 years",366,297
" ","72 years",390,315
" ","73 years",432,294
" ","74 years",474,333
" ","75 years",486,327
" ","76 years",405,363
" ","77 years",501,372
" ","78 years",468,357
" ","79 years",513,411
" ","80 years",540,450
" ","81 years",558,522
" ","82 years",543,519
" ","83 years",564,546
" ","84 years",558,510
" ","85 years",597,543
" ","86 years",531,582
" ","87 years",531,561
" ","88 years",558,615
" ","89 years",540,597
" ","90 years",513,630
" ","91 years",429,645
" ","92 years",378,585
" ","93 years",345,528
" ","94 years",267,447
" ","95 years",228,438
" ","96 years",162,327
" ","97 years",117,252
" ","98 years",96,210
" ","99 years",51,153
" ","100 years and over",84,264
" ","Median age at death",78.4,82.9
2022,"Total all ages",19764,18810
" ","Neonatal",69,48
" ","Post-neonatal",51,39
" ","Infant",120,84
" ","1-4 years",24,18
" ","5-9 years",9,12
